"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"Massachusetts",2015,33556,1706,32862,382,116,1,2534,2833,1162,909,70,48,7383,5077,93,186,1537,10934,0,790,25
"Minnesota",2015,225786,1798,224562,21287,2930,16,10438,44738,34963,21940,3970,1886,15949,54562,2609,5037,3718,14955,335,10686,27
"Mississippi",2015,90279,2574,88738,0,7,1,7160,6776,5460,13535,2790,267,11155,21650,4633,769,168,11920,2645,1351,28
"Missouri",2015,75472,1515,74180,126,137,41,3153,6491,5258,5511,416,79,17094,20944,1171,435,418,13419,4,1079,29
"Montana",2015,46288,878,45620,4269,611,4,5529,7543,5267,2659,287,1110,4722,10367,1621,1324,539,3091,892,1337,30
"Nebraska",2015,19441,383,17608,2612,78,4,1430,2487,1203,590,89,23,4641,5450,156,59,137,2199,0,977,31
"Nevada",2015,28589,4855,25208,1,143,7,3584,2245,1604,478,276,37,6226,6709,141,119,26,5510,1152,482,32
"New Jersey",2015,325102,3820,308249,11716,4913,24,81680,38639,19274,11016,3167,2583,25784,60830,5057,2033,2043,29744,18809,24443,34
"New Mexico",2015,121603,767,110759,10837,760,16,16447,23462,10884,6819,1674,1148,9170,18636,1310,1139,186,4566,14074,12088,35
"New York",2015,54524,9847,47982,0,0,17193,1651,6179,3676,1724,369,1,7667,9528,248,0,2880,19763,0,838,36
"North Carolina",2015,225452,2604,223844,334,37,1,7091,26502,22955,14810,5098,1652,41700,67649,9732,6,1847,22853,0,3557,37
"North Dakota",2015,14943,507,14943,2718,98,304,2075,1361,1705,832,161,98,1534,3729,115,221,117,1578,9,1408,38
"Ohio",2015,415094,2639,413937,8,2087,16,25680,63277,36066,41678,13644,696,57789,95157,12348,5043,1601,28773,20994,12348,39
"Oklahoma",2015,74836,1219,73252,2704,480,534,9042,8231,4913,2302,1014,34,13087,20980,1057,357,64,7179,0,6576,40
"Oregon",2015,131581,1799,129492,5706,1879,12,36117,30886,13826,258,518,503,9757,25331,1270,1596,338,10314,0,867,41
